feature_code,field_id,instance,metabolite_name,metabolite_name_short,annotation_source,annotation_status,category,subclass,ukb_field_title
p20280_i0,20280,0,Glucose-lactate,Glucose-lactate,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Glycolysis related metabolites,,Glucose-lactate
p20281_i0,20281,0,Spectrometer-corrected alanine,Spectrometer-corrected alanine,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Amino acids,,Spectrometer-corrected alanine
p23400_i0,23400,0,Total cholesterol,Total cholesterol,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Cholesterol,,Total cholesterol
p23401_i0,23401,0,Total cholesterol minus HDL-C,Total cholesterol minus HDL-C,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Cholesterol,,Total cholesterol minus HDL-C
p23402_i0,23402,0,"Remnant cholesterol (non-HDL, non-LDL -cholesterol)","Remnant cholesterol (non-HDL, non-LDL -cholesterol)",UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Cholesterol,,"Remnant cholesterol (non-HDL, non-LDL -cholesterol)"
p23403_i0,23403,0,VLDL cholesterol,VLDL cholesterol,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Cholesterol,,VLDL cholesterol
p23404_i0,23404,0,Clinical LDL cholesterol,Clinical LDL cholesterol,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Cholesterol,,Clinical LDL cholesterol
p23405_i0,23405,0,LDL cholesterol,LDL cholesterol,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Cholesterol,,LDL cholesterol
p23406_i0,23406,0,HDL cholesterol,HDL cholesterol,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Cholesterol,,HDL cholesterol
p23407_i0,23407,0,Total triglycerides,Total triglycerides,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Triglycerides,,Total triglycerides
p23408_i0,23408,0,Triglycerides in VLDL,Triglycerides in VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Triglycerides,,Triglycerides in VLDL
p23409_i0,23409,0,Triglycerides in LDL,Triglycerides in LDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Triglycerides,,Triglycerides in LDL
p23410_i0,23410,0,Triglycerides in HDL,Triglycerides in HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Triglycerides,,Triglycerides in HDL
p23411_i0,23411,0,Total phospholipids in lipoprotein particles,Total phospholipids in lipoprotein particles,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Phospholipids,,Total phospholipids in lipoprotein particles
p23412_i0,23412,0,Phospholipids in VLDL,Phospholipids in VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Phospholipids,,Phospholipids in VLDL
p23413_i0,23413,0,Phospholipids in LDL,Phospholipids in LDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Phospholipids,,Phospholipids in LDL
